lnr_id,name,team,matches_verified,starter_rate,form_window,form_tackles_per80,form_line_breaks_per80,form_offloads_per80,form_turnovers_per80
12498,J. GRAY,Union Bordeaux-Bègles,10,0.4,5,17.56,0.0,0.56,0.0
2358,J. GROS,RC Toulon,8,0.0,5,10.62,0.0,1.52,0.0
1782,J. HALL,USA Perpignan,13,0.231,5,9.25,0.0,0.4,0.4
13604,J. HILL,Racing 92,16,0.812,5,11.21,0.43,0.22,0.22
2212,J. JACKSON,US Montauban,14,0.571,5,6.43,0.44,0.66,0.0
92,J. JOSEPH,USA Perpignan,12,0.833,5,5.4,0.6,0.6,0.0
12243,J. K'POKU,RC Toulon,8,0.125,5,17.32,0.82,0.0,0.82
11744,J. LAHARRAGUE,Union Bordeaux-Bègles,7,0.286,5,7.35,0.41,0.41,0.0
2503,J. MALLIA,Stade Toulousain,2,1.0,2,2.58,2.06,1.55,0.0
1074,J. MARAKU,LOU Rugby,8,0.5,5,9.27,0.24,0.0,0.0
12593,J. MARTIN MONTILLA,ASM Clermont,2,0.0,2,5.0,0.0,0.0,0.0
2005,J. MCINTYRE,USA Perpignan,1,0.0,1,6.4,0.0,0.0,0.0
2399,J. MERKLER PEREZ,Stade Toulousain,9,0.0,5,12.39,0.0,0.0,0.0
13598,J. MONTOYA,Section Paloise,8,0.125,5,7.83,0.0,0.0,0.0
13878,J. PETAIA,USA Perpignan,4,0.5,4,5.41,0.0,0.0,0.0
329,J. POIROT,Union Bordeaux-Bègles,15,0.0,5,10.45,0.4,0.8,0.0
12373,J. POWELL,US Montauban,15,0.2,5,9.6,0.0,0.0,0.32
2307,J. QUERE KARABA,RC Toulon,9,0.444,5,8.92,0.29,0.29,0.0
1083,J. REY,LOU Rugby,13,0.077,5,17.48,0.34,0.0,0.0
13558,J. RITCHIE,USA Perpignan,11,0.818,5,12.51,0.22,0.43,1.08
1752,J. SCELZO,Stade Français Paris,6,0.333,5,11.48,0.0,0.68,0.0
970,J. SCLAVI,Stade Rochelais,5,0.0,5,5.26,0.0,0.0,0.58
2353,J. SINZELLE,RC Toulon,13,0.692,5,9.23,0.0,0.77,0.26
12442,J. TOEVALU,RC Toulon,3,0.0,3,4.26,0.0,0.0,0.0
1342,J. TUCULET,US Montauban,8,1.0,5,3.4,0.68,0.45,0.0
693,J. VAN TONDER,USA Perpignan,11,0.455,5,12.56,0.51,0.51,0.77
2277,J. WAINIQOLO,LOU Rugby,13,0.923,5,4.33,2.28,1.37,0.0
1756,J. WARD,Stade Français Paris,14,0.786,5,10.59,0.94,0.47,0.24
133,J. ZABALA ARRIETA,Section Paloise,5,0.0,5,14.6,0.0,0.0,1.17
1853,Jack MADDOCKS,Section Paloise,13,0.846,5,4.21,0.22,0.22,0.0
954,Jack NOWELL,Stade Rochelais,13,0.846,5,3.6,1.06,1.06,0.0
2425,Jack WILLIS,Stade Toulousain,14,0.571,5,8.51,0.85,1.7,1.42
2188,Janick TARRIT,Racing 92,13,0.385,5,13.72,0.29,0.0,0.29
838,Janse ROUX,LOU Rugby,13,0.308,5,16.19,0.0,0.0,0.32
1433,Jeremie MAUROUARD,US Montauban,12,0.0,5,9.71,0.46,1.85,0.46
2413,Jeremy NEMOR,Stade Toulousain,1,0.0,1,0.0,0.0,0.0,0.0
2232,Jimi MAXIMIN,Section Paloise,17,0.235,5,15.89,0.0,0.0,0.26
1955,Joaquin OVIEDO,USA Perpignan,8,0.625,5,12.75,0.58,0.87,0.29
11982,Job POULET,USA Perpignan,9,0.222,5,6.92,0.77,0.0,0.0
263,Joe JONAS,Stade Français Paris,5,0.2,5,5.39,1.35,0.45,0.0
4000,Joe SIMMONDS,Section Paloise,6,0.667,5,2.71,0.54,0.81,0.0
1075,Joel KPOKU,Section Paloise,3,0.0,3,13.33,0.0,0.0,0.0
13940,John ISCARO,Stade Français Paris,3,0.0,3,16.3,0.0,0.0,0.0
11712,Jon ECHEGARAY,Union Bordeaux-Bègles,4,0.25,4,1.34,0.34,2.02,0.0
1909,Jordan JOSEPH,Racing 92,9,0.111,5,12.61,0.0,0.79,1.18
12799,Jordan UELESE,Montpellier Hérault Rugby,11,0.0,5,12.39,0.0,0.0,0.75
402,Joris JURAND,ASM Clermont,11,0.909,5,3.57,0.63,0.63,0.0
1807,Joris SEGONDS,Aviron Bayonnais,17,0.882,5,7.76,0.0,0.24,0.0
12425,Joseph CARBERY,Union Bordeaux-Bègles,8,0.375,5,4.09,0.31,0.63,0.0
13640,Joseph MANU,Racing 92,13,0.615,5,7.72,0.62,1.24,0.0
